Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
0,0,0,,,
1,0.42947473722293583,0.1940328012017626,16.560956780272534,0.42947473722293583,0.1940328012017626
2,0.48949785177184046,0.34451506382972685,12.682033541331164,0.06002311454890463,0.15048226262796427
3,0.49842294778326585,0.42647820220447374,12.102480180633195,0.008925096011425403,0.08196313837474689
4,0.4997628787692504,0.4661251733985759,12.01540949280791,0.0013399309859846,0.03964697119410216
5,0.4999643442516933,0.4845318582183391,12.002317668453724,0.00020146548244284247,0.018406684819763205
6,0.4999946466864905,0.49295828443772655,12.000349085909955,3.0302434797235578e-05,0.008426426219387413
7,0.4999992067540562,0.4967975878556683,12.000053125461722,4.56006756564121e-06,0.0038393034179417095
8,0.4999998939641159,0.49854410415852857,12.000008654476922,6.872100597524703e-07,0.0017465163028602976
9,0.49999999797817896,0.4993381830463205,12.00000198323384,1.0401406306115224e-07,0.0007940788877919262
10,0.500000013926301,0.49969915928015524,12.000000987424917,1.5948121992675823e-08,0.00036097623383475884
11,0.5000000164642183,0.49986324408939836,12.00000084104085,2.537917283814237e-09,0.0001640848092431168
12,0.5000000169094185,0.49993782879908916,12.000000820556117,4.4520020154087673e-10,7.458470969080608e-05
13,0.5000000170052702,0.4999717310451021,12.000000818170031,9.585164914603946e-11,3.390224601295265e-05
14,0.5000000170328256,0.49998714117236664,12.000000818126763,2.7555430129091078e-11,1.5410127264543623e-05
15,0.5000000170429434,0.4999941457778155,12.000000818263672,1.0117849094511872e-11,7.004605448857827e-06
16,0.5000000170471807,0.4999973296896265,12.000000818349445,4.237284982927733e-12,3.183911811057854e-06
17,0.5000000170490523,0.4999987769222686,12.00000081839197,1.871582532664941e-12,1.4472326420775502e-06
18,0.5000000170498948,0.4999994347552714,12.000000818411829,8.424971986884075e-13,6.578330028689232e-07
19,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
20,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
21,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
22,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
23,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
24,0.5000000170498948,0.4999994347552714,12.000000818420943,8.424971986884075e-13,6.578330028689232e-07
25,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
26,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
27,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
28,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
29,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
30,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
31,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
32,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
33,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
34,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
35,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
36,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
37,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
38,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
39,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
40,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
41,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
42,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
43,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
44,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
45,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
46,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
47,0.5000000170498948,0.4999994347552714,12.000000818420943,8.424971986884075e-13,6.578330028689232e-07
48,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
49,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
50,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
51,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
52,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
53,0.5000000170498948,0.4999994347552714,12.000000818420933,8.424971986884075e-13,6.578330028689232e-07
54,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
55,0.5000000170498948,0.4999994347552714,12.000000818420933,8.424971986884075e-13,6.578330028689232e-07
56,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
57,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
58,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
59,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
60,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
61,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
62,0.5000000170498948,0.4999994347552714,12.000000818420938,8.424971986884075e-13,6.578330028689232e-07
63,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
64,0.5000000170498948,0.4999994347552714,12.000000818420935,8.424971986884075e-13,6.578330028689232e-07
65,0.5000000170498948,0.4999994347552714,12.000000818420936,8.424971986884075e-13,6.578330028689232e-07
66,0.5000000170498948,0.4999994347552714,12.00000081842094,8.424971986884075e-13,6.578330028689232e-07
67,0.5000000170498948,0.4999994347552714,12.000000818420942,8.424971986884075e-13,6.578330028689232e-07
68,0.5000000170498948,0.4999994347552714,12.000000818420933,8.424971986884075e-13,6.578330028689232e-07
