Horizon,Lyapunov Value
1,0.17302449572324152
2,0.015392056177795712
3,0.0009107737320468187
4,6.735024548570217e-05
5,8.35597540536025e-06
6,5.7127677641993315e-06
7,6.200343293664651e-06
8,6.460161837642788e-06
9,6.548534156780828e-06
10,6.576063167931331e-06
11,6.58443689918959e-06
12,6.5869514027252765e-06
13,6.587713912704842e-06
14,6.587958539831831e-06
15,6.587958540166057e-06
16,6.5879585401527575e-06
17,6.587958540164568e-06
18,6.587958540178862e-06
19,6.587958540139939e-06
20,6.587958540151545e-06
21,6.587958540127279e-06
22,6.587958540184376e-06
23,6.58795853994029e-06
24,6.5879585401057735e-06
25,6.587958540169372e-06
26,6.587958540049539e-06
27,6.587958539899345e-06
28,6.5879585402213325e-06
29,6.587958540125917e-06
30,6.587958540092602e-06
31,6.587958540119754e-06
32,6.587958540126949e-06
33,6.587958540201717e-06
34,6.587958540096299e-06
35,6.587958540130913e-06
36,6.587958540158681e-06
37,6.587958540202737e-06
38,6.587958540147478e-06
39,6.587958540131046e-06
40,6.587958540087738e-06
41,6.587958540033207e-06
42,6.5879585401170034e-06
43,6.587958540160312e-06
44,6.5879585401818015e-06
45,6.587958540156167e-06
46,6.5879585401791655e-06
47,6.587958540171247e-06
48,6.587958540066231e-06
49,6.5879585401183655e-06
50,6.587958540142484e-06
51,6.5879585401275244e-06
52,6.5879585401376795e-06
53,6.587958540188854e-06
54,6.5879585401447124e-06
55,6.587958540155629e-06
56,6.58795854017598e-06
57,6.58795854018582e-06
58,6.587958540118377e-06
59,6.587958540040603e-06
60,6.587958540054108e-06
61,6.5879585400915e-06
62,6.5879585400761654e-06
63,6.587958540167978e-06
64,6.587958540193895e-06
65,6.587958540157963e-06
66,6.587958540177399e-06
67,6.587958540116577e-06
68,6.587958540200977e-06
69,6.587958540160491e-06
70,6.5879585401510635e-06
71,6.587958540133383e-06
72,6.587958540167904e-06
73,6.587958540170253e-06
74,6.587958540034162e-06
75,6.587958540046658e-06
76,6.587958540136498e-06
77,6.587958540151691e-06
78,6.587958540153039e-06
79,6.587958540110666e-06
80,6.587958540144892e-06
81,6.587958540211024e-06
82,6.587958540145598e-06
83,6.587958540133237e-06
84,6.587958540148376e-06
85,6.5879585401567555e-06
86,6.587958540147446e-06
87,6.587958540185751e-06
88,6.587958540081695e-06
89,6.587958540012751e-06
90,6.587958540162721e-06
91,6.58795854017104e-06
92,6.587958540175899e-06
93,6.587958540197915e-06
94,6.587958540111341e-06
95,6.58795854016867e-06
96,6.5879585400220765e-06
97,6.587958540074872e-06
98,6.5879585401280166e-06
99,6.587958539971278e-06
100,6.587958540133523e-06
