Horizon,Lyapunov Value
1,3026.7718659449165
2,1288.101057631877
3,1056.8250686632937
4,1089.4818934361792
5,1138.896042324498
6,1254.979587991376
7,1231.9924377532234
8,884.9999394364386
9,1100.5601456596355
10,1144.690562570875
11,1315.1031749492224
12,1538.4602374268438
13,1371.396125193925
14,1301.664466053661
15,920.9577241189662
16,274.61647500055597
17,218.78516175039795
18,379.64714332466883
19,515.1025316676232
20,576.4320025104505
21,99.52966777079803
22,59.46940819627917
23,44.30438392138264
24,31.106005763157533
25,22.83245373093328
